cus_id,sex_dit_cd,cus_age,zip_ctp_cd,tco_cus_grd_cd,ivs_icn_cd
72b8b093c28087ef42d905e6cb317ed2b990b781e17d792e65c04120acd66b89,2,70,31,09,-
690fee569bc8e2d99b98fea21dee93335ef620ddb2a497530cf640f6080b8b07,1,70,46,05,04
3cdbab7885388d4c341e18d268a17bfa0e295c91062fe7953419a1278cbefcb1,2,70,46,03,04
487e1126975f2a131d8e8b1113eb322cac89bfd85168272c63d23d4e2ca09779,1,70,11,03,02
a0287d659d86ad475b6a29dbab2ad437b0c61bc3e45c930d1bd59b9ca066c3e7,2,70,41,03,00
6f4fcdeebbeefce6d2dd2437fe1a42e6f7b4e61eaa0338fc3a46bbf8090348e5,1,70,47,05,-
b5d332093556eee7f9872b70d3a977b4a8ab749971c1b9f8b042b111725f476c,1,70,41,03,04
b718676ecbbda5a8b5b3ef592234a57249c0eb7d8456b445d7715faec1878090,2,70,41,09,-
c5545ca5e1b16e33f84a417d36055ede2f8e3eafacd9e8453119d7a043d85b5e,1,70,11,09,-
a1e0106310bc0b74d8ea59f1d5dbd1e11b9fb0fe40863e49f54a20eb419bcbd8,1,70,11,01,05
615bd622e0443190b09b8023f1b9235dad298a077cbbbc66fbc81ca909c644c0,1,70,11,04,-
62f6b543d9cf987026bcef504444ff8739e544bc4132a743bb182e342629e5c9,1,70,11,05,01
577fe53b0119369f085c1f3530671578a7602965a3a5c8a2c0ab6de36d6ea096,2,70,41,03,04
06daaa52e02268fe1adafc89c4e0c50892c49dca4cd7239adb701914cd2f6359,2,70,41,04,-
89fd7e63b3e3232407d65c34f8284e7f8084593b276b59517f8b8048041b4ed4,1,70,11,04,-
ab152f184fbef71da9136b0e8c385ba3db39b149dc14d6b35218947605ebb0e7,1,70,11,04,03
5b13ce8f620d4f2ca0d14a948672d45abf55c5880a0b86498bd121bb5f2255cf,1,70,26,04,-
f2a3f6fecf95470965f188c2e5800d71f63427bea7bec985605e05b1d4f06558,1,70,50,04,-
e873f912d2baf4d605b75269c32c1ed76a5972fc974982238d05c86dedfb15ba,2,70,42,09,-
eb194a74fb33d1754f277ffb6adfd766ca8e99348a838b2d307de6b79516c692,1,70,29,05,-
15b5ad45e49536c9a227945a82e2140c6446c90ca1d9d8dab4727298754b59d6,1,70,11,04,-
b63bc4c6f4d43c4820c86232003e36070365263ad298168b0948cc78a1726e79,2,70,41,05,-
634be37c2347b541d352e96cb526e0515e60dd4d7eb6c2c76960559c012783d3,1,70,31,05,-
f0e0244f17ad12436afd3d7fbe2c7dcb24c2afdf12122855fd5131a0b3de1da3,1,70,41,04,03
be55954a70068c27ad724c1c18c1396dd97881732f9155997f17667778a696d4,1,70,26,09,01
04ce190ee3bd7b7591cd541e0cff8716b9381c12f7cdb8aa0229d0234de0ab18,2,70,11,03,02
0fe28db1fba381c80dbd8f008b8f5e6498090cbd976c309667aa43b9285d0765,2,70,11,04,03
6aef1d8466546a656a62282d203e4e889864140dc0fcefbe629261e9e4e40914,2,70,26,01,04
4789cb0faddee22fd4fdcd6e262dbc387e4f762f3f5327453b193376354d904b,1,70,11,04,04
8be93de3c2d6e187cb8554738e2b0d5ec8b13303eac5164476465e90f01a1f25,2,70,11,03,04
d66f44b69b3aad512dbc3671818b8b73fca8a9ff811ad13783d16a7607ca03a2,1,70,41,05,02
8b9c8a7169e02a868f2a813f0acfe9e601de38a8f098e62249566d4d3b37ada2,2,70,41,03,03
2582f8ba6a49867ee265a2382d9a07cd4bee71d9e95c7acfa4b5702ff5a84b38,1,70,11,03,03
1259cde3bf1237be8a5ffecd9346071af4fd027150b69d7ec09347652443fde6,1,70,44,03,03
12314de109755c69e829e1592b2f9fdf9a76816d369b453e779a6637e1df65fc,2,70,11,05,-
36bee37851a63cf27f4b8d2246dad20075649f463d10095490f69b99ddc12d66,2,70,11,04,-
53cc4c0e334fcc56a956fc2d3c1f25a77a0be980aac3a2a7a73bfbea8a10a808,1,70,11,02,03
ec2cbfbc37af25a0494fb3bc0f81c93ad08d0fb4020cae18a3e87e32f5e87266,1,70,48,05,-
13e7630fee4217e1f9fcfecf2d689265c74140a4ef2d5b4a7dea12dea2ddb368,1,70,46,09,-
893bbf8b9fd3d900234e7bfa807069dc5fed7b258412ab56b1ef659bfb3bfa13,1,70,41,09,-
ef07ba51d74bd9643975549098f0ca37bafc93f949652825a5321b927bdd29cd,2,70,11,02,04
4576059be320a5e440b3fae49348a2144d52551120d5d8e9a1390e0b3604422b,2,70,45,04,04
67226de046e7544b865947e516d4e22b5927cff9ba44cc67127bd3b5b92ea2ea,1,70,50,05,-
4db0f1cd854ae3a99ab499f28c9b6b5063793c7877b60072cd74984ef9ea0d36,1,70,41,05,00
0c0d89fc445486ae88a8a1e4733bc5e9946210e0de166a205bbee21c3593240d,1,70,26,03,05
24a6df70bea9e3b7bb52c8c13810f3be19369666054ea09e60af6cdb0c1535de,2,70,27,09,-
bdf1355e83f4981a4a10404f312387f472c879a81da98d81f7c44a6290e44203,1,70,43,05,-
3cd715463d99ddba1ebd24eb55248501b7002ab04e27a84a8221afe5a5e8561b,1,70,41,03,03
16c6fd223b6b63cdaa3b3b35ab66e18672e9d13b0c7bbef3d511ea8ca70b27a5,1,70,41,05,-
c8703e154cbc0b9f5754708bc5b685d38f9d62a75cda65302c053909be7d1a4a,1,70,30,03,-
69c058f71b959ab4529f8b7d455d36bc7605a87cb950362a208411367e186ac5,2,70,27,04,03
911e73dc9ee076e128243e6515b9e15740f3ba32c391f7db2820579f545cf344,1,70,41,05,-
be05f59c0a3c99edf11a8068184a048a1d76433883d1d0145afb0445efc97d03,1,70,29,03,04
d5f7a184940377cd79b331b7286e3298fdfbdbe19654068d9f10239079dc4d63,1,70,11,05,-
76c18ddbddffa01b1447a10f3d259cf66f6ef9f2737559dd0e043d91f87b3ba9,1,70,41,02,04
6fd78a6425f6c6f9c59dc46066ca5c18aff50c3eaa5e3ecf755b2b5e295c7bb4,1,70,26,03,02
c4e83a790e3d8ebbcec44565cd59a5497f7bd8fc07fc2d619069e4dbac473928,1,70,11,05,-
0b6ab156a98e5c903ac453f3137d0e575def37bbbb1df75f4b5bbe63b6bca51c,1,70,26,03,02
a6f2cab0788d3e1de424b5b58e529218294c35e7996579e8a8dd31da9104c722,1,70,26,05,-
63f967f406ea84302409885f7474c261fb499a522b676eec7eb985738c3a861c,2,70,41,04,-
4b29cce0c14a362607ae3b833c77fedc3da1507001e6873eeead01c5f4a4a952,1,70,11,03,04
dfb832c842bea4750383d646bcdfeb1e59543cae43b9e316c7d416fac0f46b02,1,70,11,04,03
c3a4a42f6163791e737f1416407afe80f62a68921527ae0712fc59c653cf3e6e,1,70,41,04,-
3b962eaef6b412cce3d834db8d8d9929f140cdc1014ab6a18e28d2fa78d81b66,1,70,11,03,03
bb23ba4d167730adaa5060bd1431f37d9197c6fd92ad1d73890f12961d039196,1,70,11,03,04
028eef89e41178139e546b234f803760737a549a2328cd685240733fcca4fd10,2,70,47,04,03
d21347a43ac330648cd8c7de37645bc8f15cd60161cd4c1e686aba42919c86ef,2,70,11,03,-
1690d77be69a3f5ce33bac39e2a3ff4c28dde060667470ac90c25564fb0f3e98,1,70,11,04,-
c0818f515653627a268c8125ec8f48887c03fc0303a0ab7d173648d27ea53208,1,70,29,04,-
918c4520441ee98435b530419849f0f008ce3fbe6dfc77b723680b2440737a8d,1,70,11,05,-
f12628d23319835b0e8df4174033214b827fd15ed75ddbca75ae463923066a9e,1,70,44,04,-
24ddb868fa0ce199e891a8f92d94d87bbd09356bf8541e27c0b6e4a116f6f486,1,70,26,09,-
3e3600e9135b1ec7d5336a99cab49086158360b5f04d3aac02e616a33207877a,1,70,41,03,-
7c541d9d6c109dbe07d75dc8205fe997e88d8f451c4f3ba05bafcc50b5bbb99a,1,70,45,09,01
118aa489d61e82b9bd38757477d27d948959b04ca02040df88fb75aeb8da1a0b,1,70,11,09,02
f05128e29c824130bd8a28a8e92d5e69f1c3b9dcdb3c817dd6127684ac38fcf5,2,70,11,02,-
da4bbe988ab617ee2262e40a4bb4bee724a9da68b07f474669bc3301afac3957,1,70,41,04,03
b324e2a5c2500f254eb7d388a600f80fa2e2a1f7a6d3e321588f8d633c740d64,1,70,41,05,-
1c31f43b14aacd022d302e42c698d0d2d1e7e493b3b4b0054e7be9b1c141e188,2,70,41,03,02
14031ed17e18538e9c9ce7c12b7e106e38c2bb191150213bc1a3442bf13b86b4,1,70,46,05,-
95e72d1ddbb864e33786f31c6eddb5ea285fc71def8de71f6693d6ab9602994f,2,70,47,04,-
fe835bb22c21c0885202797440436f7052a966b76d9eb558eada87b07eb472ed,2,70,29,02,03
983242e6cc6b788a63ddf5fe43a2b47ad9bfb1a33020de9888c67041825d53e6,2,70,11,02,-
aef2c69735a0106dd6bc96d5880b1bfa804db9ee4a44d3c6c9209bbf4662fc47,1,70,11,04,04
72ab9b949a6860d5634d306603a28a52588a0805ecf8bc5f4f004a0bdc41b5e0,2,70,47,05,05
d8010ccdc2817c8a17bbcae46cedf33383dc78ef0562c7c5d6c5b9f5830e2e30,1,70,26,03,-
40b6e072d0c40538adb39b9f88ff8c9bc7c25bc2c618a01ea24489cad5e42ea6,1,70,41,03,03
a25e26affdaf268843b6a977c5a712286f3d9ca02c08f1a6924f3ff8bfa51fe3,2,70,41,09,03
8c7be9d12b50d24f4bed343b995848c07e12db968cef30bffe88df9dca5cdfe4,1,70,11,09,-
2b0346cab42ac446de13975b4a083cd08f5b0cbc062356de27c84ffaa35a06a1,1,70,41,04,-
1e1852f83fbb1513d97df22f11acf407d9c829ca1c0554301b0091be8d271352,1,70,31,05,05
b53f6b23c56f01fa003d846b1e290fe7e077deca36201f45a0a5821396a7f69b,1,70,11,09,-
65fbeccae255472179c36396bc3a6201b4a61d2a91ae9e3fe5224edbdbe8aa86,2,70,41,01,04
b979f45df65dd97848798b44feb836248f1b8655ec6cfc7d3c413c1fda464cd3,2,70,41,05,-
15e418be4841d6c391d68212d74730cb5aff0e595b46a5b4ba14b6b123b2b1e7,1,70,41,05,-
22b8209fd7417989562f2cf0c90268863acccb9e5757fd6a624947192eefb1aa,1,70,42,04,-
2218d45d8790c69ec5f2f741e3b7e43345d41f78f4aa760f6b769be23bf9edda,2,70,11,03,-
f237a135781a526e27cda4bcfc63870a19be180a7e9bcef29cd14148b6489b32,1,70,42,04,03
798662926b8686004f744cac946d1498b4a454f0d1102bc6c5212a461b0bb31f,2,70,11,01,05
67fdf75707fc16a03f896e396839b8ed2f3a5c5bad829b2426c825f2ae73c47b,2,70,28,09,-
96d75f6454318553aad1b431e2b5af88152d0778275ff4a5ddd8ed197725bc7d,1,70,29,09,-
aaefbf20de1d7e7a37e7b0e7969fce3a3e05b65d3961a9d24133629e96e5ae8c,1,70,26,04,04
ecbe498e00ab396d8d8a545edaea4b52c479262b9defdf9b78f9606ef5a903e7,1,70,11,03,03
39ff6f60cd0dad0361b01748c4d6cda2e0090b2104d2beef4ff5895fa8c24070,1,70,27,05,-
ee7d8e9b4497d3594be96340ffda5e044897dc2181ebaf8c94aac5156aafa993,1,70,41,05,-
4dc01600ffe8aacb44306df3237ae67e2bfb6d5e86f64129a0631755041dd027,1,65,43,05,-
a7eabc93575b113f22ed8fb0259ca257c19d56f63774c78e9f60bf1b5127da00,2,65,11,03,-
2e4e7a64e30e715db37c4fa68d43cd2474d32c9155416c9154a701f327b7ce0e,1,65,11,04,03
fde0f536f1f248d408bc53b15589e133250b71c5a016b09a8c5fcabd4f24b3b9,2,65,11,03,-
7b70418afcba611c384bbe2625b5434a85058cbf8908de0ebc75f4a435b99946,2,65,47,04,-
5b4bd1d5fa738513eb1697b4687b0cc29e1eb275e2cbbf2228a1138063b2b910,1,65,41,03,05
cec51dc99023421a743ebe62cc5dafa82bbd38139e665f368095ca7c20d71f1f,1,65,28,04,03
ac63f2259ce45c2ef3e2202c61a54515c6bf90961d32e645e195c7d990fe876f,2,65,26,03,-
ed73e9ca2c1ce07bc56e28fccd477515fe7acfd7337f79fd213a22a8139f6752,1,65,41,04,-
892f41b5002a79c9c93992acf60682f5698372aea023bda68d942687109ae8ab,1,65,11,01,04
4a66a5004fb4e7082217451ba84b261e759c0a523a9413bc03845550a1597002,2,65,30,03,03
4ae4a7c00856911b69df50ffdd6ee240bb5ff042256eb57418e5d1723b15fd87,2,65,41,05,02
6eebb78ed143111b12c48e1492ad73b4626007ac8ffbe013838fa17c9faaaa1e,1,65,11,01,03
fa3e7e2263bc8793fa6cc7d763f2063fba7f32aa378b123762bb9812547fca0a,2,65,47,03,-
17995e550be4ea4c8e13e9cfd7841b9ed092ed800cbe0b698a7ea1e655f724b1,1,65,11,09,-
234a2563c27d36457a917261ce2784f8f54c68545dd148aca5e0bdf93f81b6c1,2,65,11,03,04
49bcf3cf3901b0a07cd2a8c8f545d56ae6ce2fb1ef8f8bbebed96084cdec58ef,1,65,11,02,03
68cd49df9e60401e9928b408cd36624a54b28ed8f2aef4171ab3182607859b6b,1,65,48,09,-
6915d64e85a5131953c72afa1b6e25b22d856b9951a0fe0bc150331b2701ef79,2,65,26,04,-
06a5ebc510e9e331ed058716f502ad76e935aa492f8d06aa50d749ae06e8552f,1,65,41,05,-
c9cc8217e56bd18edf5e87b9af841b0d3344b187e749730457589caac50b7a07,1,65,42,03,-
764dfee07f62debfc715c10589d2fb4702be4330b91c6fa06b99361a7dcb73d0,2,65,11,03,02
7ae245e969b3aa8149200e06024548548b680752c6cc25603f0ebc17f02d015c,1,65,11,04,-
7aea75a71c4698f2f3af0538df61ed6cce8f8770dbcee08e3451633bc1a1d928,2,65,26,04,03
c69e7d918ffc427926a26390fbb7455ce812b53d2b1522d67437f83f928b48ed,1,65,11,05,-
952dff8615ee709c0f23feed00b3af07335fefdf827db967529f4b04a84173d9,1,65,48,04,03
76581569b3b260e6eb1313d1112830d4562eeccdb1993b8802966c39c3eb736e,1,65,11,01,04
a6f93c15797ded739627a403bb0e2d6995b3e4be4684e4157476671f7c55861a,2,65,41,03,04
cc57d81d8ff19f5ecf79d3d5ab188f780632977df43615b2b54b0c88d9d21eb6,1,65,11,04,04
d77b6d592f87f4fd5605a663e60ec0391c7bacd06646994705ea4c568db2de2f,1,65,41,03,-
8f469fa22d0a757672b2db12287b6bb91e8a477461371f326013e0c107aed29e,1,65,48,01,05
e35a211fa623097f8875899af8b1b020e2813dd5cde5cd4547a09be14c319bff,2,65,41,09,-
c0da09e79475533f8bc36f62a8385569ec756d2da4bad100aaf94143f3126db8,2,65,11,02,03
18f2b417e9a401d1c0c29b3ef9df75842f7ab885bd5db0c597c3613f25ded2e1,1,65,41,04,-
cdb55563f2532ca2973bed70cad9c50383bdb398b9eaa2b7fedc1b483c88d1c0,1,65,43,03,-
9820f94bb19687bd7037c092c372436494b445f998c255f8d9f2b88b0a137656,1,65,45,02,02
a9c5b05276007b4f01af02f493fa54807c4543a349077b48b560e56e705dea64,1,65,11,05,02
da2fec22a34ad09084ccfd03d8f79c2796e4075ad52d2d15353c6a77fced4ce3,1,65,26,04,-
d7831851442d4cdecbb0c66c671c23bd9a07b6ab04745688580ed83ab9ea7ba6,1,65,41,04,-
ba4875897768d7e98ce4e47b7fc1acca89fce9e0ae0baefd643162f0a765ab32,1,65,26,05,-
a51afa9986f7d39b00c61ea7a63b190e811c350495c61aa5dfdb25cb161b4346,1,65,27,05,02
dd7be055810c29e7e19ae5f9e50e69c2254918c6c1263a3a1fa38e8a612d1c95,2,65,11,05,04
55140b8e714933c3d0de4052069a10e07bf986fd6a49227c6f2ed92fa8cfab5e,1,65,50,03,04
bba742a8382fa8cd0055e7efeaeb9d90c9652bf02fb0ee07030dd46c9f2096f9,2,65,11,02,04
d33369287a2d8d60745ca67017a90821a9403c33225e883a4da6062f359a92be,1,65,11,03,04
8d73f9767412978795b4709af30eb13d4ee2c2a08d73fc62248f16013057e874,1,65,41,03,04
924668ed230b87cc84d5d7ab2d81bd6b625de81b1b7ccd5790fa8f78cf0e2c04,1,65,11,09,-
76d4ee465bf90c1db2a4173b5b36b7b83cd8133eaf3af80861cc1696c2be4922,1,65,29,05,-
fb7d795751af35a4251534477501ac4a337cb68bc07c86d468c582625129803e,1,65,11,02,03
ce5353c799f7307aba51d56553cc3924660ebf6112fce5575f139a6784f80d32,1,65,11,04,-
a99008d8fb762cfba2675a52f92dbb3e211f33ed41ad3683c1a210f8c17b82c6,2,65,46,04,03
7d0fb26ca7eded282e7b2e7f12ecd9702920dda62571fff7b5f347d7382382c0,2,65,26,05,-
98290f66b11e6289e7675219dc5ec00967e906b31fbf061a0a7dedc2d7b04a17,1,65,11,01,05
6708abf3a6ba53438ebabed27f44fbf0975b082e0c878aeb8d11bd3f6427ceb6,2,65,11,05,-
1cdd8e9f9d3746687b0039b74e62d6f8fdc2d8735f41fce77fea5ae9a4520a25,1,65,41,04,04
e5a463e272450e344896b63331e674074033d8ceafbd2197781570457c192a95,1,65,11,02,-
e3d721743e3546f86583fe2cbdd6275d253fe823b9d6ac68893f0df46b15c16a,2,65,11,09,-
e360cdc8ae9e41ff775df7f0ee751a773db9236ff3ad8b0fd5c6a610179561b7,1,65,11,05,03
4393c48a68defe6f0a2ceaecc57116c93a72859234bc695702f28e3c1663533c,1,65,26,05,-
a70285d65b0ab37ad8648a9e3771146f35b2d9febda47e849b2d5926019d0c08,1,65,11,02,02
3a5c0232b5cc4747d35ee20517617ba1b4f2af1bdf6756589ca2a3b92a0daf1b,2,65,11,05,-
6cdc07565be85a63c4e2031d61fc34445e03b113e83642703e7dfbfccdd60bf5,1,65,11,03,04
118df0e806c1b20ef77f148d4a8a3a67b431885551bed0c1752275ce1406670f,1,65,41,05,-
52e9b35f4c4a32f835b33fe4548403c535eecc760dd9b4f5d89320ecad89b10b,1,65,30,09,05
d7a7705b0623eac932455a11b1aec5ea9dd9ad6519f45bb4165aaf83731344bc,2,65,41,04,-
23a14f476354f9569238e34962a333a3c1ab831b70149418f1b86135f1962200,2,65,11,02,04
10c77fa98b52f87536458f1d2281eb4653f010cce7dddcb4fa4cd60bcc024088,2,65,41,03,-
20f4e43ca52ed1561b32d4cb5cd441daadbac954eda961a7b21d2654e33f54a1,1,65,46,04,-
9e82dfaf4093b507196fb2ecc9db15899fd0b8a4d45eec9a2131a6aa2d4304ca,1,65,28,03,04
27dee9c02d9c4a79faf231d3cf42250e6403b74a18af921c07805f10be9f5869,2,65,11,05,03
44168400fc954a3cd38031ae7fe561f341ef1078738161debe89d3bd802e6300,1,65,41,05,-
c9f48ba88434853bbb34fb6c4d3d0d69e5f912703e9729883554f9197ddeaab0,1,65,27,04,-
1e920de3bf0c5c841808b02b21518e838235a518e0eb7316f0a61cdbb56cb4c9,2,65,11,05,03
2349b601c649f861f8f9b5f97284647959374193a796e7c02348fae573bd473b,1,65,41,09,-
31c0b527d309a65f8005037b826bd7e59fdc56cd79d949f9f918e347762098e0,1,65,11,01,04
66a9cc712db9e21159e754ad52dfa3c73f57dc9d58042996231ac5a36cb24212,1,65,26,05,04
a012dd2b98f06bb07a7c97d6418aa7a88d66a775bfdb8d4d618a6f01ee027595,2,65,46,04,03
60a496ff1b218c8b2ad8eba0986d2ba836a973c73ca2dc3b984a31298c9e03ea,1,65,11,04,-
bd1fb6f40f295f95c02f042633b1ac0ff49548750bc42263f807dd62394c1d7f,1,65,43,04,-
c290dbb2bcf7701032d3302ff56c1dbebcd69fcb9758de1c973fe8160db974f8,1,65,26,03,-
e10e652ef48857bafa69d40cef3bf160764c4c86cad252566600e5984c5d3b19,2,65,41,04,-
14fab30a0c0d5a10b563852565339f3a2e73091ca11c55aefc72c01b43aa5857,1,65,11,05,02
3e337f2e6d1e04f7430d947f9bd4a51efa2d8feb5e36165327131d2d97264db0,1,65,11,05,-
8de23b97a1f3ee8f3cc1db9649bf950b109b5cb9e2eefb2e4e6d4d03f0d060aa,1,65,11,03,03
b35bbebf343bb87f1cc2776257307322664cafb6855aacb47d4453106355b053,1,65,48,09,-
725b01becff5968d9f9309c7fa60ae424b93d54e8c3f992b4e40a73e9afc39da,1,65,41,04,03
2aa5d2bd702a1ad9206638180765bb8701ed9d6dbedb2c9f9a2605e400e6e1b9,1,65,29,09,-
6eac27521f95bcf4e55ca5dbe015eb6290568ed871dc2cdcf7ec4bc681ba0f56,1,65,28,05,02
2477ebdcbcda4f9176eb9386b14b33e92ab0eeb6e8e56c796eae21cf160c5da7,1,65,11,03,03
97212d5614bea2893423dca65eb9a4d115c5950fcf589f3898436940f4ac904f,1,65,47,03,04
b70edc2a895f72b569b46d2725e710f89471c72cb4d2017a17f930bdf786e10f,2,65,27,04,-
019c15200a73afe77e205f1a8849380d1d1dc2b79762652555f951420209e977,1,65,41,03,-
0b45c4bc1f392efe2adb18709618861ab1e180f38e3a62ac4fd19502ef8c3c5f,1,65,11,03,04
8191306441de252eed4fdd9560dfaed225405e9662ffd0140c58ebc2c277f278,1,65,26,04,-
a58f8149f19e03b0899794b1c01275ab8549a7405bf579a7fde4b692dfc02944,1,65,41,03,04
596ea8306addffda38fd7b275a681ddb2dc3dd3d5e0921cf2a2299ef74dd07a0,1,65,41,03,05
5bed46b2c2fb778024fcb3402ddaa95f9b7a6c6344e1708d16a0337dd44c1c3c,1,65,11,02,03
7a20763549f083580d052d0a962e645240e5dfc5b1f59a7e59e39a9a9c5f5a45,2,65,26,05,-
397c407c4c076c37efb6492fff4881d6a13773341f940b4d17e6bacb9d69172d,1,65,46,04,-
a299d70518c8767c5c692b6660e1c9f7ca8b54c3984f6108ddda3ba915cb273b,2,65,11,04,04
c1599e0169e8cd0e65364e23e961189a7628141e1bc31fcc4bf7f7b41f5e78f9,2,65,11,04,-
b6736998710b1aa61bf124fe0bd921dcbdfde2b62ed60167b02706ed221d3951,2,65,30,05,04
23da350e62ba3cc7899362d7885c6087ed099022799afed63267cda55604fc9c,2,65,41,09,-
800df00fe0814966a5be28d3e423c1428c637bf54606318697d79195ea56126d,1,65,46,03,04
aa58d545a2daed2baa9c7e1cc500e3f97b1aea37c8fda0e5025bbcb453a3181e,2,65,41,09,-
ae4519ddf32f42bdf2a4f76b6b4a3eb59e3458a24c54aed20d6c13603780a975,2,65,26,09,-
36b8901d6c88bc410c2dfcaa92d75a82b4dc2fdfd1b1fdd9a5942836a9c98ad6,1,65,41,04,04
a26330548f4d113dac9fd56966f54ddec5fd809310dd5c6d20d80c7ce8724ba9,1,60,11,03,05
d74b23fa5e81e7c42b8cc65978c31ac2a097dcbcc74ed1702e645611691088b7,2,60,31,04,-
c1a58f4384676ccd70099ea442ab2edd29925696a7b8972060de0a91891d8c40,2,60,41,03,05
ccf49cd2eeaef55666929efdd089d04f7f0b53f927c8b26c1d1b320cb7b264a6,1,60,48,03,-
8c03c6b1279049832d53650107f79a212192f08c9a72c6bc3cb496bc5dfedfd9,2,60,31,04,-
8ac01ccee199a0e1939ec5b27f7e89868383ccb94d09f6aefa640bba76acb685,1,60,11,04,-
bede0728b2302341cfbf4624cb45ef8b8378c334b29db12b5ecef12b8b2c21ed,2,60,26,09,-
c7d625d419cb7f1a8f51c9635509813c95c138a5cd9ae4ca67108c7471fd8835,1,60,28,05,-
f5efe88494b481c4518a7ea626ff175714edb8c018c0c6570efced079c2ca9e5,1,60,41,01,03
a39f5b1559771c90dd5d32dc9eb133230b0b40765bbc5bffc84c930ac129f71f,1,60,27,04,-
d1bcab7ab274eb56a3755bc9238df7b995ed0246e0e7c21b9e17063580684d1d,2,60,41,09,02
8cb336c84a02fdcaa1f5419190629b1532bfe5bea3ee116f21eb87908bce83cf,1,60,41,01,04
c87d93c9f15e2001c66d469aab87403efa89480555bd10134156ae7f3ff127e0,2,60,26,02,04
3216bd6c103284cfddec546501cc4925628f124f41c3cf5bbf38a19f966072a4,1,60,41,09,03
a49323c941b31ade39017141657164cd85e67b93c73f14569433720a6671223a,1,60,31,05,-
263098ab57aae3f1e4d679a8b262b59a7fb52ef8c0175785cb68a98e3fff0ae1,2,60,11,05,-
112aef642e0a3cfeb9d0e6f72ad8a69c12c476a7223225b5a7682b40e63a99c7,1,60,41,01,05
1da1eaff80b62983308a00b115facd6fa13a66a06f3e950322c4212f4412e486,2,60,48,03,04
770e9549544ef6b1b58265421e7ad156954ae94afffba39d1d6e88afb536d937,2,60,46,05,03
a2f875e78da0be6e2fc9664972f57206ccfba15159938cfe0e941e8aad16f64b,2,60,11,03,-
4650c2c4e06b94cff256e7751f39cef4c7d958e651150ae06a4eed47edce079c,1,60,46,04,04
f66e6aac5f67e71daec5d97aaa2f8cf9a62ce02d9fb1ab3bf2b54cdd007436fc,2,60,29,03,-
9cd47d04f40e56be0311cec57714645d61a0c72613bcdda8c10a8a7bef558aa0,1,60,47,03,-
4de59ad013a802826f6503ca4e51efacc1689d31ddd94cb5e5f45f50074f1ce2,2,60,11,01,04
9469bbdb91622de6d8911e1e663d0ab3140da240829dc291d83de7283032fe03,2,60,41,09,03
6c01b658104d1b1e66ed3a78dc3b1cbbe725262c2eda362bb77ef28073066202,2,60,29,03,04
df71ba4ea3d2a53914edaa0f69a1346e4e9e629884d6672724478542e2d6c5c0,1,60,27,04,02
